192.168.2.108,157.240.13.19,91119,443,1551893987
192.168.2.236,13.107.6.163,91219,0,1551937252
192.168.2.77,151.101.61.181,91178,443,1551940452
192.168.2.188,8.8.8.8,91212,0,1551833131
192.168.2.89,52.54.6.101,7178,80,1551865547
192.168.2.102,157.240.24.20,91125,443,1551842027
192.168.2.188,172.217.0.74,188126,0,1551934039
10.3.1.21,192.168.2.114,18,0,1551912444
151.101.1.69,192.168.2.57,91120,0,1551828269
192.168.2.130,157.56.106.184,214,0,1551855732
192.168.2.10,173.212.228.30,5,0,1551906839
192.168.2.143,52.114.158.50,91212,443,1551870793
192.168.2.236,13.107.18.254,768,443,1551885187
192.168.2.188,23.214.186.247,768,80,1551880388
192.168.2.188,172.217.160.202,91239,443,1551924432
192.168.2.62,52.114.88.19,5212,0,1551896396
192.168.2.114,172.217.160.163,91126,443,1551939663
192.168.2.66,13.107.5.88,5212,443,1551898015
192.168.2.140,140.177.205.23,70,80,1551822562
192.168.2.94,103.243.172.110,5239,443,1551868923
192.168.2.78,204.79.197.200,91212,443,1551910845
192.168.2.87,216.58.200.142,188126,0,1551931630
192.168.2.104,104.199.182.131,12,443,1551932420
192.168.2.130,172.217.168.195,188126,0,1551928425
18.195.251.148,192.168.2.130,7178,0,1551892397
192.168.2.105,74.125.21.94,5126,0,1551892397
192.168.2.105,74.125.21.94,91239,443,1551892397
192.168.2.93,13.107.5.88,5219,443,1551927611
192.168.2.247,52.229.174.172,91212,443,1551926825
40.126.18.2,192.168.2.94,91212,443,1551868923
192.168.2.5,34.200.185.64,5,443,1551931630
fe80::6d6e:2dd8:68d4:a37b,ff02::000c,5239,0,1551829069
192.168.2.89,52.219.62.45,91178,443,1551934039
192.168.2.114,134.220.81.56,16,0,1551940452
192.168.2.89,216.58.196.174,188126,0,1551936458
192.168.2.247,172.217.166.174,91124,443,1551808778
115.112.18.131,192.168.2.183,5178,53,1551896396
52.98.66.98,192.168.2.86,91212,443,1551859760
192.168.2.61,216.58.197.78,7126,80,1551889999
192.168.2.51,8.8.8.8,91241,443,1551912444
192.168.2.130,13.107.3.128,91125,443,1551855732
192.168.2.96,157.240.24.12,5140,0,1551899615
192.168.2.61,157.240.25.20,188124,443,1551830705
115.112.18.131,192.168.2.94,5,53,1551896396
192.168.2.51,52.66.151.89,7178,80,1551818501
17.242.12.23,192.168.2.60,238,0,1551935654
192.168.2.77,27.62.153.84,201,0,1551934828
192.168.2.106,114.29.213.193,91141,443,1551801473
192.168.2.247,192.168.56.1,12,0,1551808778
192.168.2.101,216.58.197.78,188126,0,1551889999
192.168.2.140,23.111.9.67,5,443,1551822562
192.168.2.62,64.233.177.188,12,443,1551873499
0.0.0.0,0.0.0.0,1111,34,1551761998
192.168.2.130,18.195.251.148,188126,443,1551892397
52.98.90.2,192.168.2.104,91212,443,1551931630
23.212.233.91,192.168.2.77,70,0,1551911634
192.168.2.57,23.77.16.184,5126,443,1551912444
fe80::ac2c:0815:c57f:4e60,ff02::0001,154,0,1551926030
192.168.2.104,104.244.42.195,91120,443,1551860555
192.168.2.51,192.168.2.2,91212,443,1551938872
192.168.2.76,216.58.203.194,5126,0,1551922044
192.168.2.236,23.78.216.77,91219,443,1551930010
192.168.2.130,52.109.120.18,91219,443,1551887593
192.168.2.130,13.249.11.54,214,443,1551873499
192.168.2.135,172.217.166.78,91126,443,1551935654
192.168.2.95,157.240.24.55,5,0,1551940452
192.168.2.77,192.229.233.25,91120,443,1551899615
52.113.67.80,192.168.2.69,91212,443,1551919647
192.168.2.114,207.163.245.20,10,0,1551940452
192.168.2.104,157.40.199.129,91212,0,1551921236
52.113.67.81,192.168.2.143,91212,443,1551870793
52.219.62.45,192.168.2.89,91178,0,1551934039
192.168.2.247,13.107.6.163,12,443,1551877876
192.168.2.99,136.147.109.2,91212,443,1551821765
192.168.2.253,151.101.60.159,91120,443,1551857354
52.109.64.25,192.168.2.247,91219,443,1551915633
145.239.1.122,192.168.2.66,0,443,1551898015
192.168.2.153,54.86.130.105,7178,80,1551893987
140.177.205.23,192.168.2.140,0,0,1551822562
52.98.65.2,192.168.2.236,91212,443,1551902017
192.168.2.143,4.2.2.2,5219,0,1551870793
157.240.7.54,192.168.2.106,0,443,1551930833
8.250.29.254,192.168.2.62,7147,80,1551802284
192.168.2.95,52.114.32.7,91212,443,1551903625
192.168.2.106,103.243.221.87,91142,443,1551890812
192.168.2.104,115.112.0.14,5,443,1551921236
192.168.2.102,157.240.24.20,91119,443,1551796571
13.228.235.29,192.168.2.119,7178,0,1551940452
